,學校,地區,等級,間/進,總計,,,因傷病,,因經濟困難,,因學業成績不佳,,因志趣不合,,因工作需求,,因懷孕,因育嬰,,因兵役,,因出國,,因論文撰寫,,因適應不良,,因家人傷病,,因考試訓練,,因逾期未註冊、繳費、選課,,其他,,
,,,二技,修,25,7,18,1,1, -, -, -, -, -, -,6,8, -, -,4, -, -, -,1, -, -, -,1, -,1, -, -, -,1, -,1,技職
30,國立臺東大學,臺東縣,博士,,13,4,9, -,1, -, -, -, -, -, -,2,4, -, -, -, -, -, -,1, -,2, -, -, -, -, -, -,1,1,1, -,一般
,,,碩士,,89,38,51, -,4,2,5,1, -,1, -,15,14,2,1,2,3, -, -,1,3,8, -, -,2,3,1, -,1,1,8,11,一般
,,,碩士,職,103,34,69,1,10,1,1, -, -, -, -,14,26,2, -,5, -, -, -, -,4,5, -, -,3,5, -,2,2,2,9,11,一般
,,,學士,,203,115,88,14,11,4,3,5,2,16,19,10,7,1, -,3,2, -,1,2, -, -,3,3,6,4,4,3,17,9,33,21,一般
,,,學士,進,46,16,30,1,2, -,3, -, -, -,2,5,6,1, -, -,1, -, -, -, -, -, -, -, -,2, -,1,4,2,5,11,一般
,,,二技,修,13,10,3, -, -, -, -, -, -, -, -,4,1, -, -, -, -, -, -, -, -, -, -, -, -,1,1, -,1, -,4,1,技職
31,國立宜蘭大學,宜蘭縣,博士,,3,2,1, -, -, -, -, -, -, -, -,1, -, -,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,碩士,,74,53,21,1,2,5, -, -, -,1,2,26,8, -, -, -,1, -,2, -,9,5,3, -,2,2,2,2, -, -,1, -,一般
,,,碩士,職,37,24,13, -, -, -, -, -, -, -, -,17,6, -, -,1, -, -,1, -,4,4, -, -, -,1, -, -, -, -,2,1,一般
,,,學士,,147,109,38,9,10,2,2,18,4,18,11,20,5, -, -, -,11, -,6,4, -, -,15, -,2,1,6,1, -, -,2, -,一般
,,,學士,進,48,37,11, -,2, -, -,1, -, -,1,19,4,1,1,2,9, -, -, -, -, -,1,1,3, -, -, -, -, -,3, -,一般
32,國立聯合大學,苗栗縣,博士,,1,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,碩士,,57,36,21,5, -,2, -, -, -,1,2,12,5, -, -,2,1, -, -, -,10,12,2, -,2, -, -, -, -, -,1, -,一般
,,,碩士,職,2,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,1, -,一般
,,,學士,,185,134,51,12,9,5,6,21,2,48,13,23,6,2, -, -,10, -,3,4, -, -,3,6, -, -,4,3,2, -,3, -,一般
,,,學士,進,57,38,19,1,1, -,1,4,1,6,4,17,7,2,1, -,4, -, -, -, -, -, -,1, -,1,3, -,2,1, -, -,一般
33,國立虎尾科技大學,雲林縣,博士,,10,8,2, -, -, -, -, -, -, -, -,7,1,1, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,技職
,,,碩士,,66,54,12, -,1,2,2, -, -,12,2,12,3, -, -, -,4, -,1, -,8,2,8,1,4, -,1, -, -, -,2,1,技職
,,,碩士,職,34,25,9,1, -,2, -, -, -, -, -,16,4, -,2,1, -, -, -, -,3, -,1,1, -,2, -, -, -, -, -,1,技職
,,,四技,,203,171,32,10,3,3,2,37,2,53,13,27,5,1, -,1,12, -,1,2, -, -,14,3,5, -,5, -, -, -,4, -,技職
,,,四技,修,99,73,26,2,2,7,1,10,5,15,3,27,12, -, -,2,8, -, -, -, -, -,2,1,2, -, -, -, -, -, -, -,技職
,,,二技,,5,2,3, -,1, -,1, -, -,2, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,17,7,10,1, -, -, -, -, -, -,3,5,5, -, -, -,1, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -,技職
,,,二專,,2,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,1, -, -, -, -, -,技職
,,,五專,,5,2,3, -, -, -, -, -, -,2,2, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -,技職
35,國立臺南藝術大學,臺南市,博士,,12,7,5, -,1, -, -, -, -, -, -,2,1, -,2, -, -, -, -, -,2,2,1, -, -, -, -, -, -, -, -,1,一般
,,,碩士,,161,63,98,5,2, -,4, -, -, -,1,14,24,1,1,8, -, -,2, -,16,20,9,13,5,9, -, -, -, -,11,16,一般
,,,碩士,職,14,4,10, -, -, -, -, -, -, -, -,3,4,1, -,2, -, -, -, -, -,3, -, -, -, -, -, -, -, -,1, -,一般
,,,學士,,60,19,41,3,4,1, -, -, -,3,3,2,4, -, -, -,1, -,4,9, -, -, -,9,1,2, -,1, -, -,4,9,一般
,,,七年,,4,1,3, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -,1,1, -, -, -,1, -, -, -, -, -, -, -, -,一般
36,國立臺南大學,臺南市,博士,,39,21,18,3,2, -, -, -, -, -,1,8,6, -, -,3, -, -, -, -,4,4, -, -,1,1, -, -, -, -,5,1,一般
,,,碩士,,245,84,161, -,7,5,5,1, -,2,4,20,40,1, -,8,1, -, -,1,21,53, -, -,3,4,2,7, -, -,29,31,一般
,,,碩士,職,155,46,109, -, -, -,1, -, -, -, -,29,50,5,1,16, -, -, -, -,16,35, -, -, -,2, -, -, -, -, -, -,一般
,,,學士,,124,66,58,6,6,1,2,9,4,19,21,4,1,1, -, -,3, -,1,3, -, -,1,9, -,1,2, -, -, -,20,10,一般
,,,學士,進,21,11,10, -, -, -,1, -,1,4, -,1,3,1, -, -, -, -, -, -, -, -,1, -, -, -,1, -, -, -,4,4,一般
37,國立臺北教育大學,臺北市,博士,,28,10,18,1, -, -, -, -, -, -, -,3,8,1, -,3, -, -, -, -,3,4, -, -,1,2, -, -, -, -,2, -,師範
,,,碩士,,305,80,225,2,3,2,6,1, -,2,5,21,59,6,6,24,3, -,4,5,25,73, -,1,3,8,4,15,3,5,4,15,師範
,,,碩士,職,228,51,177,4,8,1,4, -, -, -,2,21,53,8,11,24, -, -,1, -,10,62, -,1,2,12,1,2, -, -, -,1,師範
,,,學士,,91,41,50,4,5,1, -, -, -,17,21,3,6, -, -, -,1, -,5,7, -, -,4,5,1,2,2, -,1,2,2,2,師範
39,國立臺中教育大學,臺中市,博士,,31,15,16,1,1, -,1, -, -, -, -,7,6,1, -, -,1, -, -,1,5,4,1, -, -,2, -, -, -, -, -, -,師範
,,,碩士,,191,55,136,2,10,1,2,2, -,1,2,26,56,10,2,6, -, -, -,1,10,15,5,9, -,7,1,1, -, -,5,17,師範
,,,碩士,職,166,34,132,2,9,1,2, -,1,1,1,16,53,7,2,13, -, -, -, -,4,23,2,8,5,9, -,1, -, -,1,5,師範
,,,學士,,106,56,50,7,7,3,4,3,1,16,18,8,4, -, -, -,1, -,6,6, -, -,9,8,1, -,1,2, -, -,1, -,師範
42,國立澎湖科技大學,澎湖縣,碩士,,21,10,11, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,9,11,技職
,,,碩士,職, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,125,89,36,2,2,2,1, -, -,4,1,4,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,77,30,技職
,,,四技,修,37,25,12, -, -, -, -, -, -,1, -,10,6, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,14,6,技職
,,,五專,,2,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2, -,技職
43,國立勤益科技大學,臺中市,博士,,6,6, -, -, -,1, -, -, -, -, -,3, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,技職
,,,碩士,,74,55,19,1, -,2,2,6,1,3,4,31,11, -, -, -,8, -, -, -, -, -, -, -, -, -, -, -,3, -,1,1,技職
,,,碩士,職,28,24,4, -,1, -, -, -, -, -, -,5,1, -, -,1,1,1,1, -,4, -, -, -,1, -, -, -,12, -, -, -,技職
,,,四技,,341,272,69,6,2,10, -,40,8,121,34,40,3,2, -,2,12, -,3, -, -, -, -, -, -,2,4,2,36,14, -, -,技職
,,,四技,修,176,150,26,8, -,3, -,5, -,19,9,42,6,1, -,4,14, -, -, -, -, -,8, -,3,1,4, -,44,5, -, -,技職
,,,二技,,7,5,2, -,1, -, -, -, -,2,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,3, -, -, -,技職
,,,二技,修,26,24,2,3, -,2, -, -, -,2,1,10, -, -, -,1, -, -, -, -, -, -,2, -,1, -, -, -,4, -, -, -,技職
,,,二專,修,73,60,13,1, -,1, -, -,1,2,2,17,4, -, -, -,9, -, -, -, -, -,3, -,4, -,1, -,22,6, -, -,技職
44,國立體育大學,桃園市,博士,,36,23,13, -, -, -, -, -, -, -, -,19,11, -,3,1, -, -, -, -, -, -, -, -, -, -,1,1, -, -, -, -,一般
,,,碩士,,80,44,36,1,1, -, -, -, -, -, -,40,29,2,1,4, -, -, -, -, -, -, -, -, -, -,2, -, -, -, -, -,一般
